p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CCCCC(CC)CC(S1)=C(F)C=C1C2=C3C(C=C(C4=CC=C(C5=C6C=C(F)SC6=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C58)S4)S3)=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10,6.59,6.05,13.94,0.618,0.77,1.79,212.5,85.0,2.5,5.37,3.58
CCCCC(CC)CC(S1)=C(F)C=C1C2=C3C(C=C(S3)C4=CC=C(C5=CC6=C(C=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C86)C9=NN(CC(CCCCCC)CCCC)N=C59)S4)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)C%11=C2C=C(C)S%11,11.02,10.85,16.98,0.687,0.91,2.27,65.5,37.0,1.77,5.47,3.2
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C(S4)=C(C(C5=C(CCCCCCCC)SC(CCCCCCCC)=C5C6=O)=O)C6=C4C)S3)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C2C=C(C)S8,2.13,2.13,5.78,0.39,0.95,1.89,32.5,16.2,2.01,5.46,3.57
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C(S4)=CC=C4C(S5)=C(C(C6=C(CCCCCCCC)SC(CCCCCCCC)=C6C7=O)=O)C7=C5C8=CC=C(C)S8)S3)=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10,9.01,9.01,16.33,0.64,0.84,1.77,169.5,66.4,2.55,5.35,3.58
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C4=C(CCCCCC)C(S5)=C(S4)C=C5C(S6)=C(C(C7=C(CCCCCCCC)SC(CCCCCCCC)=C7C8=O)=O)C8=C6C9=CC%10=C(C(CCCCCC)=C(C)S%10)S9)S3)=C(C%11=CC=C(CC(CC)CCCC)S%11)C%12=C2C=C(C)S%12,9.22,9.22,15.52,0.68,0.88,1.83,153.2,66.6,2.3,5.37,3.54
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(C4=CC=C(C5=C6C=C(F)SC6=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C58)S4)S3)=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10,6.04,5.71,14.2,0.575,0.74,1.82,225.6,94.0,2.4,5.27,3.45
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(S3)C4=CC(NC(OCC(CCCCCCCC)CCCCCCCCCC)=O)=C(C5=NC(SC(C6=C(NC(OCC(CCCCCCCC)CCCCCCCCCC)=O)C=C(C)S6)=N7)=C7S5)S4)=C(C8=CC=C(CC(CC)CCCC)S8)C9=C2C=C(C)S9,12.9,12.7,21.7,0.691,0.85,1.84,293.0,146.1,2.01,5.41,3.57
CCCCC(CC)CC(S1)=CC=C1C2=C3C(C=C(S3)C4=CC=C(C5=CC6=C(C=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C86)C9=NN(CC(CCCCCC)CCCC)N=C59)S4)=C(C%10=CC=C(CC(CC)CCCC)S%10)C%11=C2C=C(C)S%11,9.23,9.02,15.19,0.664,0.89,2.33,79.0,39.3,2.01,5.35,3.02
CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCC(C)CCCC(C)C)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCC(C)CCCC(C)C)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,11.2,10.8,20.31,0.61,0.904,1.94,193.4,37.2,5.2,5.54,3.6
CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCCCCCCC)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCCCCCCC)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,11.5,11.0,20.05,0.64,0.896,1.92,66.8,25.7,2.6,5.51,3.59
CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCCCCCCCCC)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCCCCCCCCC)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,14.2,14.0,20.73,0.76,0.9,1.91,163.6,39.9,4.1,5.5,3.59
CCCCC(CN(C1=C2C=CC(C)=C1)C3=C2C=CC(C4=CC=C(S4)C5=C(C(OCC(CCCCCCCC)CCCCCC)=C(C6=NSN=C56)C7=CC=C(C)S7)F)=C3)CC,3.71,3.65,6.29,0.55,1.07,1.95,119.1,59.6,2.0,5.28,3.33
CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)=C1OCC(CCCC)CCCCCC,2.46,2.46,7.04,0.38,0.92,1.63,108.0,36.0,3.0,5.57,3.94
CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC(SC(C)=C4)=C4S3)=C1OCC(CCCC)CCCCCC,1.57,1.57,3.94,0.46,0.87,1.69,123.2,44.0,2.8,5.51,3.82
CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC=C(C4=CC=C(C)S4)S3)=C1OCC(CCCC)CCCCCC,5.41,5.41,10.42,0.59,0.88,1.76,77.0,35.0,2.2,5.49,3.73
CCCCCCC(CCCCCCCC)CC1=C(C2=CC=C(C3=C(C(F)=C(C4=CC=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C)S5)S4)C6=NSN=C63)F)S2)SC(C7=C(F)C(F)=C(C)C(C(N8CC(CCCCCC)CCCCCCCC)=O)=C7C8=O)=C1,12.74,12.42,19.01,0.71,0.94,1.77,69.6,58.0,1.2,5.63,3.86
CCCCCCC(CCCCCCCC)CC1=C(C2=CC=C(C3=C(C(F)=C(C4=CC=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C)S5)S4)C6=NSN=C63)F)S2)SC(C7=CC=C(C)C(C(N8CC(CCCCCC)CCCCCCCC)=O)=C7C8=O)=C1,13.31,12.92,19.41,0.76,0.91,1.75,54.0,36.0,1.5,5.55,3.8
CCCCCCCCCN(C1=C2C=CC(C)=C1)C3=C2C=CC(C4=CC=C(S4)C5=C(C(OCCCCCCCCCCCC)=C(C6=NSN=C56)C7=CC=C(C)S7)OCCCCCCCCCCCC)=C3,1.87,1.73,4.1,0.43,1.06,1.97,50.3,25.2,2.0,5.23,3.26
CCCCCCCCN1C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CCCCCCCCCCCC)=C6C=C(SC6=C4C7=CC=C(S7)CCCCCCCCCCCC)C)=C2C1=O)C)=O,7.15,7.11,14.47,0.552,0.89,2.42,29.3,12.1,2.42,5.510000000000001,3.09
CCCCCCCCN1C(C2=C(SC(C3=CC4=C(S3)C(OCC(CC)CCCC)=C5C=C(SC5=C4OCC(CC)CCCC)C)=C2C1=O)C)=O,4.43,4.39,10.51,0.437,0.96,2.3,34.5,13.7,2.52,5.36,3.06
CCCCCCCCN1N=C(C2=N1)C(C3=CC(C4=CC=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)S4)=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C(F)=C6F)S5)S3)=C(F)C(F)=C2C8=CC(C9=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S9)=C(C)S8,10.6,10.36,16.24,0.67,0.96,2.0,98.0,54.1,1.81,5.58,3.58
CCCCCCCCN1N=C(C2=N1)C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C(F)=C5F)S4)S3)=C(F)C(F)=C2C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S7,9.81,9.37,13.72,0.71,0.97,1.98,114.2,56.2,2.03,5.59,3.61
CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)O2)=C8C(OC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,11.05,11.05,16.48,0.698,0.96,2.45,17.1,10.1,1.69,5.43,2.98
CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,12.54,12.13,18.41,0.742,0.918,2.16,47.0,23.5,2.0,5.374615384615385,3.2834615384615384
ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=C(Cl)C=C(C(OCCCCCC)=O)S8,7.38,7.17,14.52,0.584,0.87,1.8,80.3,41.9,1.91,5.43,3.63
ClC(C1=C(SC(C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C)=C1S7)C)=C7C8=CC=C(C(OCCCCCC)=O)S8,8.81,8.67,15.79,0.613,0.91,1.85,66.2,41.4,1.59,5.45,3.6
FC(C(F)=C(C1=CC(C(OCC(CCCCCCCCCC)CCCCCCCC)=O)=C(C2=CC(CC(CCCCCCCC)CCCCCC)=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S2)S1)C7=NSN=C78)=C8C9=CC(C(OCC(CCCCCCCCCC)CCCCCCCC)=O)=C(C%10=CC(CC(CCCCCCCC)CCCCCC)=C(C)S%10)S9,11.01,10.68,14.71,0.741,0.98,1.86,99.7,48.4,2.06,5.4,3.54
FC(C(F)=C(C1=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S1)C2=NN(CCC)N=C32)=C3C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C=C6)S5,10.88,10.5,17.1,0.67,0.92,2.0,88.4,43.8,2.02,5.36,3.36
FC(C(F)=C(C1=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S1)C2=NN(CCC)N=C32)=C3C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(C6=C(F)C=C(C7=CC=C(C)S7)C(F)=C6)S5,7.85,7.6,12.8,0.65,0.92,1.97,75.8,46.1,1.64,5.3,3.33
FC(C(F)=C(C1=CC=C(C)S1)C2=NN(CCC)N=C32)=C3C4=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C5=C(C=CS6)C6=C(C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C)S7)C8=C5SC=C8)S4,11.6,11.2,16.26,0.636,1.08,2.05,138.3,68.8,2.01,5.47,3.42
FC(C(F)=C(C1=CC=C(S1)C)C2=NSN=C23)=C3C4=CC=C(C5=C(C(OCC(CCCCCC)CCCCCCCC)=O)C=C(C6=C(CC(CCCCCC)CCCCCCCC)C=C(C7=C(F)C(F)=C(C8=CC(CC(CCCCCC)CCCCCCCC)=C(C9=CC(C(OCC(CCCCCC)CCCCCCCC)=O)=C(C)S9)S8)C%10=NSN=C7%10)S6)S5)S4,8.1,7.83,10.47,0.65,1.2,1.99,214.6,94.2,2.28,5.55,3.56
FC(C(F)=C(C1=CC=C(S1)C)C2=NSN=C23)=C3C4=CC=C(C5=C(CC(CCCCCC)CCCCCCC)C=C(C6=C(C(OCC(CCCCCCCC)CCCCCCCCC)=O)C=C(C7=C(F)C(F)=C(C8=CC(C(OCC(CCCCCCCC)CCCCCCCCC)=O)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S6)S5)S4,10.58,10.37,13.89,0.659,1.13,1.8,207.2,103.5,2.0,5.46,3.61
FC(C(F)=C(C1=NON=C12)C3=CC(CC(CCCCCC)CCCCCCCC)=C(S3)C4=CC(CC(CCCCCC)CCCCCCCC)=C(S4)C5=CC=C(C6=CC=C(C7=C(C(F)=C(C8=CC=C(C)S8)C9=NON=C97)F)S6)S5)=C2C(S%10)=CC(CC(CCCCCC)CCCCCCCC)=C%10C%11=CC(CC(CCCCCC)CCCCCCCC)=C(C)S%11,7.4,7.1,11.72,0.569,1.07,2.08,113.4,56.7,2.0,5.57,3.49
FC(C(F)=C(C1=NON=C12)C3=CC(CC(CCCCCC)CCCCCCCC)=C(S3)C4=CC(CC(CCCCCC)CCCCCCCC)=C(S4)C5=CC=C(C6=CC=C(C7=C(C(F)=C(C8=CC=C(C)S8)C9=NSN=C97)F)S6)S5)=C2C(S%10)=CC(CC(CCCCCC)CCCCCCCC)=C%10C%11=CC(CC(CCCCCC)CCCCCCCC)=C(C)S%11,9.0,8.8,15.29,0.598,0.96,2.09,165.4,82.7,2.0,5.48,3.39
FC(C(F)=C(C1=NSN=C12)C)=C2C(S3)=CC=C3C4=C(OCC(CCCCCC)CCCCCCCC)C=C(C5=CC=C(C)S5)C(OCC(CCCCCC)CCCCCCCC)=C4,7.64,7.5,11.88,0.63,1.03,1.76,100.8,48.0,2.1,5.34,3.5875
FC(C(F)=C(C1=NSN=C12)C3=CC(CC(CCCCCC)CCCCCCCC)=C(S3)C4=CC(CC(CCCCCC)CCCCCCCC)=C(S4)C5=CC=C(C6=CC=C(C7=C(C(F)=C(C8=CC=C(C)S8)C9=NSN=C97)F)S6)S5)=C2C(S%10)=CC(CC(CCCCCC)CCCCCCCC)=C%10C%11=CC(CC(CCCCCC)CCCCCCCC)=C(C)S%11,8.0,7.3,14.25,0.608,0.88,1.63,144.4,72.2,2.0,5.35,3.495
FC1=C(C(S2)=CC(C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C2C3=CC=C(C4=CC=C(C)S4)S3)C5=NSN=C5C(C6=CC(C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C(C)S6)=C1F,6.69,6.69,11.1,0.7,0.86,2.17,66.6,33.7,1.98,5.760000000000001,3.59
FC1=C(C2=CC=C(C)S2)C3=NC(OCC(CCCCCC)CCCCCCCC)=CN=C3C(C)=C1F,17.7,17.3,24.8,0.774,0.878,2.72,82.1,39.1,2.1,5.5458461538461545,3.062923076923077
FC1=C(C2=CC=C(C3=C(F)C(F)=C(C4=CC=C(C)S4)C(F)=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,2.93,2.91,4.82,0.574,1.06,2.55,83.2,29.7,2.8,5.68,3.13
FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CC)CCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CC)CCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,13.1,13.1,21.2,0.696,0.89,1.69,71.2,24.8,2.87,5.31,3.62
FC1=C(C2=CC=C(C3=CC(C(C4=CC=C(CC(CCCC)CCCCCCC)S4)=C(SC(C)=C5)C5=C6C7=CC=C(CC(CCCC)CCCCCC)S7)=C6S3)S2)C8=NC(C9=CC(F)=C(CC(CC)CCCC)S9)=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)N=C8C(C%11=CC=C(C)S%11)=C1F,7.22,7.07,13.75,0.561,0.94,1.71,31.6,13.7,2.31,5.38,3.67
FC1=C(C2=CC=C(C3=CC(F)=C(C4=CC=C(C)S4)C=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,9.7,9.4,15.99,0.609,1.0,2.56,92.4,38.5,2.4,5.54,2.98
FC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,4.86,4.85,8.53,0.662,0.86,2.27,41.8,24.6,1.7,5.17,2.9
FC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,7.75,7.73,13.15,0.648,0.91,2.39,67.8,32.3,2.1,5.33,2.94
FC1=C(C2=NC(OCC(CCCCCCCC)CCCCCC)=CN=C2C(C)=C1)C3=CC=C(S3)C,10.5,10.3,23.72,0.54,0.82,2.54,50.2,25.1,2.0,5.41,2.87
O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC(Cl)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(Cl)=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC,8.46,8.33,13.95,0.601,1.01,1.86,87.5,44.0,1.99,5.47,3.61
O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)Cl)OCC(CCCC)CC,7.57,7.47,14.53,0.58,0.91,1.88,103.0,24.0,4.3,5.43,3.55
O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)SCCCCCCCC)=C6C=C(SC6=C4C7=CC=C(S7)SCCCCCCCC)C)=C2S1)C)F)OCC(CCCC)CC,7.24,6.94,13.23,0.594,0.887,1.55,50.0,25.0,2.0,5.295,3.615
O=C(C1=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C21)C3=C(C4=CC(CC(CC)CCCC)=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C=C6)S5)S4)SC(C8=CC(CC(CC)CCCC)=C(C)S8)=C3C2=O,5.47,5.14,11.68,0.46,0.96,1.89,103.6,28.0,3.7,5.49,3.6
O=C(C1=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C21)C3=C(C4=CC(CC(CC)CCCC)=C(C5=CC=C(C6=C(F)C=C(C7=CC=C(C)S7)C(F)=C6)S5)S4)SC(C8=CC(CC(CC)CCCC)=C(C)S8)=C3C2=O,6.6,6.19,13.24,0.49,0.96,1.88,148.8,31.0,4.8,5.49,3.61
O=C(C1=C(F)C2=C(SC(C3=CC4=C(S3)C(C5=CC(F)=C(CSC(CCCC)CC)S5)=C6C=C(SC6=C4C7=CC(F)=C(CSC(CCCC)CC)S7)C)=C2S1)C)OCC(CC)CCCC,5.95,5.57,12.1,0.534,0.86,1.59,31.0,17.6,1.76,5.49,3.9
O=C(C1=C(F)C2=C(SC(C3=CC4=C(S3)C(C5=CC(F)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(F)=C(S7)CC(CCCC)CC)C)=C2S1)C)OCC(CC)CCCC,7.9,7.44,13.1,0.571,0.995,1.65,39.6,20.6,1.92,5.65,4.0
O=C(C1=C(F)C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)OCC(CC)CCCC,8.02,7.62,14.8,0.642,0.805,1.62,53.4,24.5,2.18,5.44,3.82
O=C(C1=C(F)C2=C(SC(C3=CC4=C(S3)C(C5=CC=C([Se]5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C([Se]7)CC(CCCC)CC)C)=C2S1)C)OCC(CC)CCCC,7.42,7.26,15.6,0.594,0.785,1.62,245.2,40.4,6.07,5.47,3.85
O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,6.08,6.0,12.83,0.564,0.84,1.86,56.0,20.0,2.8,5.11,3.25
O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6,3.67,3.6,6.56,0.546,1.024,1.81,62.0,31.0,2.0,5.580000000000001,3.77
O=C(N(CC(CCCCCC)CCCCCCC)C1=C2SC(C)=C1)C3=C2C=C(C(N(CC(CCCCCC)CCCCCCCC)C4=C5SC(C6=CC=C(C)S6)=C4)=O)C5=C3,9.1,8.97,13.9,0.683,0.96,1.85,143.0,95.3,1.5,5.43,3.58
O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,13.7,13.3,24.32,0.743,0.742,1.61,124.0,72.9,1.7,5.226862745098039,3.581764705882353
O=C(OCC(CCCC)CCCCCC)C(C=C(C1=CC(C(OCC(CCCC)CCCCCC)=O)=C(C2=CC=C(C)S2)S1)S3)=C3C4=CC=C(C)S4,8.82,8.82,16.44,0.578,0.928,2.31,50.0,25.0,2.0,5.31,3.0
O=C1N(C(C2=CC=C(S2)C)=C3C1=C(N(C3=O)CC(CCCCCC)CCCCCCCC)C4=CC=C(C5=CC(CCCCCC)=C(C6=CC=C(C7=C(CCCCCC)C=C(C)S7)S6)S5)S4)CC(CCCCCCCC)CCCCCC,4.1,4.1,9.6,0.61,0.69,1.45,84.0,42.0,2.0,5.25,3.8
O=C1N(C(C2=CC=C(S2)C)=C3C1=C(N(C3=O)CC(CCCCCC)CCCCCCCC)C4=CC=C(C5=CC(CCCCCC)=C(C6=CC=C(C7=CC=C(C8=C(CCCCCC)C=C(C)S8)S7)S6)S5)S4)CC(CCCCCCCC)CCCCCC,3.8,3.8,9.3,0.6,0.68,1.5,68.0,34.0,2.0,5.33,3.83
O=C1N(C(C2=CC=C(S2)C)=C3C1=C(N(C3=O)CC(CCCCCC)CCCCCCCC)C4=CC=C(C5=CC=C(C6=CC=C(S6)C)S5)S4)CC(CCCCCCCC)CCCCCC,3.9,3.9,8.0,0.63,0.78,1.43,312.0,156.0,2.0,5.3,3.87
O=C1N(C(C2=CC=C(S2)C)=C3C1=C(N(C3=O)CC(CCCCCC)CCCCCCCC)C4=CC=C(S4)C5=CC=C(S5)C)CC(CCCCCCCC)CCCCCC,1.9,1.9,4.2,0.59,0.78,1.33,738.0,369.0,2.0,5.4,4.07
O=C1N(CC(CCCCCC)CCCCCCCC)C2=C(C=CC(C3=CC(CC(CCCCCC)CCCCCCCC)=C(C4=CC(F)=C(C5=C(F)C=C(C)S5)S4)S3)=C2)C6=C1C=C(C7=CC(CC(CCCCCC)CCCCCCCC)=C(C)S7)C=C6,8.54,8.32,16.15,0.642,0.82,3.01,141.7,65.6,2.16,5.43,2.42
